"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensg","gene","desc"
"ENSMUSG00000035069",96.6500868170031,-0.374173322919226,0.454240872330847,-0.823733278335853,0.410091126236443,0.538016730748545,"ENSMUSG00000035069","Oma1","OMA1 zinc metallopeptidase [Source:MGI Symbol;Acc:MGI:1914263]"
"ENSMUSG00000035078",706.076519422477,-0.0773589233953591,0.201450203468381,-0.3840101527001,0.700970922591858,0.787453971461073,"ENSMUSG00000035078","Mtmr9","myotubularin related protein 9 [Source:MGI Symbol;Acc:MGI:2442842]"
"ENSMUSG00000035086",551.791001383889,0.248988033975805,0.249178420186901,0.999235944224412,0.317680407380051,0.446416438318142,"ENSMUSG00000035086","Becn1","beclin 1, autophagy related [Source:MGI Symbol;Acc:MGI:1891828]"
"ENSMUSG00000035093",1132.49584418903,-0.578319105267128,0.251097238404994,-2.30316792387163,0.0212693968091323,0.0527210756035749,"ENSMUSG00000035093","Secisbp2l","SECIS binding protein 2-like [Source:MGI Symbol;Acc:MGI:1917604]"
"ENSMUSG00000035095",9.12422069346801,0.583873580970424,0.746261477453588,0.782398125336353,0.433980635191472,0.560209290040831,"ENSMUSG00000035095","Fam167a","family with sequence similarity 167, member A [Source:MGI Symbol;Acc:MGI:3606565]"
"ENSMUSG00000035105",118.771429385144,-1.20907268074571,0.290333295665608,-4.16442998028812,3.12131396209942e-05,0.000208435604276742,"ENSMUSG00000035105","Egln3","egl-9 family hypoxia-inducible factor 3 [Source:MGI Symbol;Acc:MGI:1932288]"
"ENSMUSG00000035107",239.406199913777,-0.0305099318316678,0.215466963650178,-0.141599117167689,0.88739666430458,0.923358376664288,"ENSMUSG00000035107","Dcbld2","discoidin, CUB and LCCL domain containing 2 [Source:MGI Symbol;Acc:MGI:1920629]"
"ENSMUSG00000035109",88.5537543124261,0.888682084530725,0.301020997954795,2.95222622530864,0.00315491698211221,0.0108378423454341,"ENSMUSG00000035109","Shc4","SHC (Src homology 2 domain containing) family, member 4 [Source:MGI Symbol;Acc:MGI:2655364]"
"ENSMUSG00000035112",4.92839984040967,1.66610941476235,1.18875797753977,1.40155477081255,0.161048241213804,0.265693391993997,"ENSMUSG00000035112","Wnk4","WNK lysine deficient protein kinase 4 [Source:MGI Symbol;Acc:MGI:1917097]"
"ENSMUSG00000035121",11.7795464457935,2.15376460780435,0.744431753952112,2.89316595694667,0.00381379725925085,0.0127182784553155,"ENSMUSG00000035121","Neil2","nei like 2 (E. coli) [Source:MGI Symbol;Acc:MGI:2686058]"
"ENSMUSG00000035125",163.691463213075,1.21425817288144,0.293236763780302,4.14087973563636,3.45976332601511e-05,0.000228341015624604,"ENSMUSG00000035125","Gcfc2","GC-rich sequence DNA binding factor 2 [Source:MGI Symbol;Acc:MGI:2141656]"
"ENSMUSG00000035126",165.675986809178,1.13167872922701,0.284886468237091,3.97238498630686,7.11565952793551e-05,0.000429725061171052,"ENSMUSG00000035126","Dnai4","dynein axonemal intermediate chain 4 [Source:MGI Symbol;Acc:MGI:2385328]"
"ENSMUSG00000035131",334.705340705996,-0.910094016251205,0.207997453655775,-4.37550556631989,1.21151350254975e-05,9.07699078952282e-05,"ENSMUSG00000035131","Brinp3","bone morphogenetic protein/retinoic acid inducible neural specific 3 [Source:MGI Symbol;Acc:MGI:2443035]"
